entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
boltz1-0001,structure,BOLTZ1-10000,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.95. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0002,structure,BOLTZ1-10001,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.92. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0003,structure,BOLTZ1-10002,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.57. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0004,structure,BOLTZ1-10003,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.65. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0005,structure,BOLTZ1-10004,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.66. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0006,structure,BOLTZ1-10005,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.87. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0007,structure,BOLTZ1-10006,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.77. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0008,structure,BOLTZ1-10007,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.8. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0009,structure,BOLTZ1-10008,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.89. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0010,structure,BOLTZ1-10009,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.81. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0011,structure,BOLTZ1-10010,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.92. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0012,structure,BOLTZ1-10011,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.59. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0013,structure,BOLTZ1-10012,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.82. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0014,structure,BOLTZ1-10013,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.97. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0015,structure,BOLTZ1-10014,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.83. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0016,structure,BOLTZ1-10015,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.6. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
boltz1-0017,structure,BOLTZ1-10016,boltz1 predicted protein complex metadata surrogate. Interface confidence 0.93. Captured as structure metadata for downstream retrieval.,,,,,,boltz1 surrogate
