entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
chembl-CHEMBL113081-31863,molecule,CHEMBL113081,Target: CHEMBL1806. Assay type: IC50. Activity: 100000.0 nM.,,,,,,ChEMBL
chembl-CHEMBL324340-31864,molecule,CHEMBL324340,Target: CHEMBL3921. Assay type: IC50. Activity: 2500.0 nM. pChEMBL: 5.6.,,,,,,ChEMBL
chembl-CHEMBL324340-31865,molecule,CHEMBL324340,Target: CHEMBL3879801. Assay type: IC50. Activity: 50000.0 nM.,,,,,,ChEMBL
chembl-CHEMBL109600-31866,molecule,CHEMBL109600,Target: CHEMBL3921. Assay type: IC50. Activity: 9000.0 nM. pChEMBL: 5.05.,,,,,,ChEMBL
chembl-CHEMBL109600-31867,molecule,CHEMBL109600,Target: CHEMBL3879801. Assay type: IC50.,,,,,,ChEMBL
chembl-CHEMBL357278-31868,molecule,CHEMBL357278,Target: CHEMBL4632. Assay type: IC50. Activity: 4000.0 nM. pChEMBL: 5.4.,,,,,,ChEMBL
chembl-CHEMBL357278-31869,molecule,CHEMBL357278,Target: CHEMBL612558. Assay type: % remaining. Activity: 25.0 %.,,,,,,ChEMBL
chembl-CHEMBL357119-31870,molecule,CHEMBL357119,Target: CHEMBL4632. Assay type: IC50. Activity: 17000.0 nM. pChEMBL: 4.77.,,,,,,ChEMBL
chembl-CHEMBL357119-31871,molecule,CHEMBL357119,Target: CHEMBL612558. Assay type: % remaining. Activity: 27.0 %.,,,,,,ChEMBL
chembl-CHEMBL152968-31872,molecule,CHEMBL152968,Target: CHEMBL4632. Assay type: IC50. Activity: 180.0 nM. pChEMBL: 6.75.,,,,,,ChEMBL
chembl-CHEMBL152968-31873,molecule,CHEMBL152968,Target: CHEMBL612558. Assay type: % remaining. Activity: 58.0 %.,,,,,,ChEMBL
chembl-CHEMBL152968-31874,molecule,CHEMBL152968,Target: CHEMBL3356. Assay type: IC50. Activity: 6000.0 nM. pChEMBL: 5.22.,,,,,,ChEMBL
chembl-CHEMBL152968-31875,molecule,CHEMBL152968,Target: CHEMBL340. Assay type: IC50. Activity: 37000.0 nM. pChEMBL: 4.43.,,,,,,ChEMBL
chembl-CHEMBL152968-31876,molecule,CHEMBL152968,Target: CHEMBL3397. Assay type: IC50. Activity: 24000.0 nM. pChEMBL: 4.62.,,,,,,ChEMBL
chembl-CHEMBL152968-31877,molecule,CHEMBL152968,Target: CHEMBL369. Assay type: Delta S-H. Activity: 3.0 ms.,,,,,,ChEMBL
chembl-CHEMBL152968-31878,molecule,CHEMBL152968,Target: CHEMBL369. Assay type: Delta H-V. Activity: 0.0 ms.,,,,,,ChEMBL
chembl-CHEMBL152968-31879,molecule,CHEMBL152968,Target: CHEMBL369. Assay type: Delta CPP. Activity: -4.3 mmHg.,,,,,,ChEMBL
chembl-CHEMBL174698-31880,molecule,CHEMBL174698,Target: CHEMBL382. Assay type: EC50. Activity: 63.6 nM.,,,,,,ChEMBL
chembl-CHEMBL174698-31881,molecule,CHEMBL174698,Target: CHEMBL382. Assay type: CC50. Activity: 1000000.0 nM.,,,,,,ChEMBL
chembl-CHEMBL174698-31882,molecule,CHEMBL174698,Target: CHEMBL612545. Assay type: Selectivity index. Activity: 15723.0 uM.,,,,,,ChEMBL
chembl-CHEMBL174698-31883,molecule,CHEMBL174698,Target: CHEMBL360. Assay type: Inhibition.,,,,,,ChEMBL
chembl-CHEMBL174698-31884,molecule,CHEMBL174698,Target: CHEMBL612558. Assay type: T1/2. Activity: 0.3333 hr.,,,,,,ChEMBL
chembl-CHEMBL416206-31885,molecule,CHEMBL416206,Target: CHEMBL612545. Assay type: Inhibition. Activity: 47.0 %.,,,,,,ChEMBL
chembl-CHEMBL416206-31886,molecule,CHEMBL416206,Target: CHEMBL3879801. Assay type: MIC. Activity: 200000.0 nM.,,,,,,ChEMBL
chembl-CHEMBL33450-31887,molecule,CHEMBL33450,Target: CHEMBL612545. Assay type: Inhibition. Activity: 38.0 %.,,,,,,ChEMBL
chembl-CHEMBL33450-31888,molecule,CHEMBL33450,Target: CHEMBL3879801. Assay type: MIC. Activity: 200000.0 nM.,,,,,,ChEMBL
chembl-CHEMBL268177-31889,molecule,CHEMBL268177,Target: CHEMBL261. Assay type: Ki. Activity: 6000.0 nM. pChEMBL: 5.22.,,,,,,ChEMBL
chembl-CHEMBL268177-31890,molecule,CHEMBL268177,Target: CHEMBL205. Assay type: Ki. Activity: 70.0 nM. pChEMBL: 7.16.,,,,,,ChEMBL
chembl-CHEMBL268177-31891,molecule,CHEMBL268177,Target: CHEMBL3594. Assay type: Ki. Activity: 285.0 nM. pChEMBL: 6.54.,,,,,,ChEMBL
chembl-CHEMBL268177-31892,molecule,CHEMBL268177,Target: CHEMBL2186. Assay type: Ki. Activity: 50.0 nM. pChEMBL: 7.3.,,,,,,ChEMBL
chembl-CHEMBL268439-31893,molecule,CHEMBL268439,Target: CHEMBL261. Assay type: Ki. Activity: 6.0 nM. pChEMBL: 8.22.,,,,,,ChEMBL
chembl-CHEMBL268439-31894,molecule,CHEMBL268439,Target: CHEMBL205. Assay type: Ki. Activity: 2.0 nM. pChEMBL: 8.7.,,,,,,ChEMBL
chembl-CHEMBL268439-31895,molecule,CHEMBL268439,Target: CHEMBL3594. Assay type: Ki. Activity: 38.0 nM. pChEMBL: 7.42.,,,,,,ChEMBL
chembl-CHEMBL268439-31896,molecule,CHEMBL268439,Target: CHEMBL2186. Assay type: Ki. Activity: 2.0 nM. pChEMBL: 8.7.,,,,,,ChEMBL
chembl-CHEMBL608018-31897,molecule,CHEMBL608018,Target: CHEMBL2304404. Assay type: Ki low. Activity: 913.0 nM.,,,,,,ChEMBL
chembl-CHEMBL608018-31898,molecule,CHEMBL608018,Target: CHEMBL2304404. Assay type: CPA. Activity: 89.0 %.,,,,,,ChEMBL
chembl-CHEMBL609538-31899,molecule,CHEMBL609538,Target: CHEMBL2304404. Assay type: Ki high. Activity: 102.0 nM.,,,,,,ChEMBL
chembl-CHEMBL609538-31900,molecule,CHEMBL609538,Target: CHEMBL2304404. Assay type: Ki low. Activity: 614.0 nM.,,,,,,ChEMBL
chembl-CHEMBL609538-31901,molecule,CHEMBL609538,Target: CHEMBL2304404. Assay type: CPA. Activity: 89.0 %.,,,,,,ChEMBL
chembl-CHEMBL295054-31902,molecule,CHEMBL295054,Target: CHEMBL364. Assay type: EC50. Activity: 13000.0 nM. pChEMBL: 4.89.,,,,,,ChEMBL
chembl-CHEMBL295054-31903,molecule,CHEMBL295054,Target: CHEMBL614297. Assay type: EC10. Activity: 90.0 M.,,,,,,ChEMBL
chembl-CHEMBL295054-31904,molecule,CHEMBL295054,Target: CHEMBL614297. Assay type: Selective toxicity.,,,,,,ChEMBL
chembl-CHEMBL327375-31905,molecule,CHEMBL327375,Target: CHEMBL376. Assay type: Inhibitory response. Activity: 77.0 %.,,,,,,ChEMBL
chembl-CHEMBL327375-31906,molecule,CHEMBL327375,Target: CHEMBL376. Assay type: Relative potency.,,,,,,ChEMBL
chembl-CHEMBL327233-31907,molecule,CHEMBL327233,Target: CHEMBL376. Assay type: Inhibitory response. Activity: 94.0 %.,,,,,,ChEMBL
chembl-CHEMBL327233-31908,molecule,CHEMBL327233,Target: CHEMBL376. Assay type: Relative potency.,,,,,,ChEMBL
chembl-CHEMBL54530-31909,molecule,CHEMBL54530,Target: CHEMBL4320. Assay type: Ki. Activity: 19010.78 nM. pChEMBL: 4.72.,,,,,,ChEMBL
chembl-CHEMBL54530-31910,molecule,CHEMBL54530,Target: CHEMBL4320. Assay type: Ki. Activity: 158124.8 nM.,,,,,,ChEMBL
chembl-CHEMBL132530-31911,molecule,CHEMBL132530,Target: CHEMBL1978. Assay type: Inhibition. Activity: 50.1 %.,,,,,,ChEMBL
chembl-CHEMBL132530-31912,molecule,CHEMBL132530,Target: CHEMBL1978. Assay type: Inhibition. Activity: 81.6 %.,,,,,,ChEMBL
chembl-CHEMBL542969-31913,molecule,CHEMBL542969,Target: CHEMBL377. Assay type: T/C. Activity: 11.0 %.,,,,,,ChEMBL
