entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
gene-fallback-0001,gene,ABC100,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0002,gene,SLC101,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0003,gene,ABC102,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0004,gene,HSP103,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0005,gene,SLC104,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0006,gene,SLC105,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0007,gene,FOXO106,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0008,gene,NFKB107,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0009,gene,KRT108,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0010,gene,COL109,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0011,gene,MAPK110,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0012,gene,COL111,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0013,gene,FOXO112,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0014,gene,ABC113,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0015,gene,SLC114,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0016,gene,SLC115,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0017,gene,SLC116,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0018,gene,KRT117,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0019,gene,NFKB118,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0020,gene,SLC119,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0021,gene,NFKB120,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0022,gene,FOXO121,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0023,gene,SLC122,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0024,gene,SLC123,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0025,gene,MAPK124,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0026,gene,SLC125,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0027,gene,FOXO126,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0028,gene,NFKB127,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0029,gene,SLC128,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0030,gene,MAPK129,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0031,gene,NFKB130,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0032,gene,HSP131,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0033,gene,NFKB132,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0034,gene,MAPK133,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0035,gene,KRT134,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0036,gene,KRT135,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0037,gene,KRT136,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
