entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
pubchem-1,molecule,3-acetyloxy-4-(trimethylazaniumyl)butanoate,Formula: C9H17NO4. Molecular weight: 203.24. XLogP: 0.4.,,,,,,PubChem
pubchem-2,molecule,(2-acetyloxy-3-carboxypropyl)-trimethylazanium,Formula: C9H18NO4+. Molecular weight: 204.24. XLogP: -0.3.,,,,,,PubChem
pubchem-3,molecule,"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid",Formula: C7H8O4. Molecular weight: 156.14. XLogP: -0.3.,,,,,,PubChem
pubchem-4,molecule,1-aminopropan-2-ol,Formula: C3H9NO. Molecular weight: 75.11. XLogP: -1.0.,,,,,,PubChem
pubchem-5,molecule,(3-amino-2-oxopropyl) dihydrogen phosphate,Formula: C3H8NO5P. Molecular weight: 169.07. XLogP: -5.0.,,,,,,PubChem
pubchem-6,molecule,"1-chloro-2,4-dinitrobenzene",Formula: C6H3ClN2O4. Molecular weight: 202.55. XLogP: 2.3.,,,,,,PubChem
pubchem-7,molecule,9-ethylpurin-6-amine,Formula: C7H9N5. Molecular weight: 163.18. XLogP: 0.2.,,,,,,PubChem
pubchem-8,molecule,"2,3-dihydroxy-3-methylpentanoic acid",Formula: C6H12O4. Molecular weight: 148.16. XLogP: -0.4.,,,,,,PubChem
pubchem-9,molecule,"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate",Formula: C6H13O9P. Molecular weight: 260.14. XLogP: -4.8.,,,,,,PubChem
pubchem-10,molecule,"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid",Formula: C20H23N7O7. Molecular weight: 473.4. XLogP: -1.2.,,,,,,PubChem
pubchem-11,molecule,"1,2-dichloroethane",Formula: C2H4Cl2. Molecular weight: 98.96. XLogP: 1.5.,,,,,,PubChem
pubchem-12,molecule,"benzene-1,2,3,5-tetrol",Formula: C6H6O4. Molecular weight: 142.11. XLogP: 0.8.,,,,,,PubChem
pubchem-13,molecule,"1,2,4-trichlorobenzene",Formula: C6H3Cl3. Molecular weight: 181.4. XLogP: 4.0.,,,,,,PubChem
pubchem-14,molecule,7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,Formula: C20H32O5. Molecular weight: 352.5. XLogP: 3.1.,,,,,,PubChem
pubchem-15,molecule,"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one",Formula: C19H30O2. Molecular weight: 290.4. XLogP: 3.7.,,,,,,PubChem
pubchem-16,molecule,"1,8-diazacyclotetradecane-2,9-dione",Formula: C12H22N2O2. Molecular weight: 226.32. XLogP: 0.6.,,,,,,PubChem
pubchem-17,molecule,"2,3-dihydropyridine-2,6-dicarboxylic acid",Formula: C7H7NO4. Molecular weight: 169.13. XLogP: -0.1.,,,,,,PubChem
pubchem-18,molecule,"4,5,6-trihydroxy-2,3-dioxohexanoic acid",Formula: C6H8O7. Molecular weight: 192.12. XLogP: -1.8.,,,,,,PubChem
pubchem-19,molecule,"2,3-dihydroxybenzoic acid",Formula: C7H6O4. Molecular weight: 154.12. XLogP: 1.2.,,,,,,PubChem
pubchem-20,molecule,"3-(2,3-dihydroxyphenyl)propanoic acid",Formula: C9H10O4. Molecular weight: 182.17. XLogP: 1.0.,,,,,,PubChem
pubchem-21,molecule,2-ethyl-2-hydroxy-3-oxobutanoic acid,Formula: C6H10O4. Molecular weight: 146.14. XLogP: -0.2.,,,,,,PubChem
