entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
oqmd-0001,material,AlN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,984.18,506.4,31.438,,,OQMD surrogate
oqmd-0002,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1007.62,816.54,27.854,,,OQMD surrogate
oqmd-0003,material,ZnO,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1422.91,277.72,55.271,,,OQMD surrogate
oqmd-0004,material,SnO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1770.89,698.71,75.727,,,OQMD surrogate
oqmd-0005,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1439.54,822.02,58.136,,,OQMD surrogate
oqmd-0006,material,BaTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1335.63,752.44,58.982,,,OQMD surrogate
oqmd-0007,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1450.99,715.2,21.161,,,OQMD surrogate
oqmd-0008,material,ZnO,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1561.73,721.07,13.256,,,OQMD surrogate
oqmd-0009,material,AlN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,658.72,533.31,79.178,,,OQMD surrogate
oqmd-0010,material,TiO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,767.02,227.17,77.183,,,OQMD surrogate
oqmd-0011,material,SnO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1540.28,123.4,58.195,,,OQMD surrogate
oqmd-0012,material,SnO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1640.98,108.1,34.978,,,OQMD surrogate
oqmd-0013,material,AlN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1477.76,161.94,42.908,,,OQMD surrogate
oqmd-0014,material,BaTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1549.3,602.3,66.496,,,OQMD surrogate
oqmd-0015,material,SnO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,587.43,210.5,32.572,,,OQMD surrogate
oqmd-0016,material,TiO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1002.19,468.19,22.451,,,OQMD surrogate
oqmd-0017,material,AlN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1345.43,307.37,62.534,,,OQMD surrogate
oqmd-0018,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,894.13,730.88,16.278,,,OQMD surrogate
oqmd-0019,material,SnO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1518.14,464.16,12.502,,,OQMD surrogate
oqmd-0020,material,TiO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1798.64,224.42,51.852,,,OQMD surrogate
oqmd-0021,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1174.5,311.64,17.001,,,OQMD surrogate
oqmd-0022,material,GaN,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,557.34,636.51,71.959,,,OQMD surrogate
oqmd-0023,material,BaTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1076.45,817.03,9.661,,,OQMD surrogate
oqmd-0024,material,SiC,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1412.8,353.98,75.841,,,OQMD surrogate
oqmd-0025,material,SrTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1524.65,355.03,33.161,,,OQMD surrogate
oqmd-0026,material,BaTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1382.57,718.91,12.737,,,OQMD surrogate
oqmd-0027,material,SrTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1431.18,815.09,6.8,,,OQMD surrogate
oqmd-0028,material,SrTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1177.71,770.62,30.143,,,OQMD surrogate
oqmd-0029,material,SrTiO3,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1118.36,295.75,48.358,,,OQMD surrogate
oqmd-0030,material,SiC,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1629.0,751.84,47.255,,,OQMD surrogate
oqmd-0031,material,TiO2,OQMD surrogate material record with thermodynamic stability metadata. Useful for phase stability and band-gap retrieval.,1186.5,847.44,79.629,,,OQMD surrogate
