entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
soil-0001,soil,Alluvial soil sample 0001,Generated soil record for a delta. Observed pH 5.56 with salinity 19.13.,43.67,1.42,3.75,5.56,19.13,Synthetic soil CSV
soil-0002,soil,Sandy loam sample 0002,Generated soil record for a trial plot. Observed pH 6.63 with salinity 7.76.,36.67,1.14,0.9,6.63,7.76,Synthetic soil CSV
soil-0003,soil,Silty clay sample 0003,Generated soil record for a coastal belt. Observed pH 6.2 with salinity 21.06.,57.08,1.65,2.93,6.2,21.06,Synthetic soil CSV
soil-0004,soil,Silty clay sample 0004,Generated soil record for a riverbank. Observed pH 7.84 with salinity 27.09.,52.37,2.4,0.77,7.84,27.09,Synthetic soil CSV
soil-0005,soil,Silty clay sample 0005,Generated soil record for a farm row. Observed pH 5.33 with salinity 8.34.,37.21,0.5,5.26,5.33,8.34,Synthetic soil CSV
soil-0006,soil,Sandy loam sample 0006,Generated soil record for a delta. Observed pH 7.73 with salinity 9.08.,48.86,2.05,1.27,7.73,9.08,Synthetic soil CSV
soil-0007,soil,Peaty soil sample 0007,Generated soil record for a trial plot. Observed pH 4.67 with salinity 36.94.,32.85,2.11,1.03,4.67,36.94,Synthetic soil CSV
soil-0008,soil,Sandy loam sample 0008,Generated soil record for a trial plot. Observed pH 6.82 with salinity 13.35.,29.9,1.22,2.11,6.82,13.35,Synthetic soil CSV
soil-0009,soil,Silty clay sample 0009,Generated soil record for a trial plot. Observed pH 4.57 with salinity 27.35.,41.96,0.59,0.77,4.57,27.35,Synthetic soil CSV
soil-0010,soil,Peaty soil sample 0010,Generated soil record for a trial plot. Observed pH 5.38 with salinity 4.78.,59.71,0.94,6.27,5.38,4.78,Synthetic soil CSV
soil-0011,soil,Silty clay sample 0011,Generated soil record for a coastal belt. Observed pH 6.13 with salinity 18.62.,31.25,1.38,4.92,6.13,18.62,Synthetic soil CSV
soil-0012,soil,Sandy loam sample 0012,Generated soil record for a farm row. Observed pH 8.77 with salinity 24.39.,35.75,1.01,2.24,8.77,24.39,Synthetic soil CSV
soil-0013,soil,Alluvial soil sample 0013,Generated soil record for a coastal belt. Observed pH 8.22 with salinity 35.41.,28.91,1.25,1.06,8.22,35.41,Synthetic soil CSV
soil-0014,soil,Clay loam sample 0014,Generated soil record for a coastal belt. Observed pH 7.23 with salinity 25.67.,58.05,0.9,0.31,7.23,25.67,Synthetic soil CSV
soil-0015,soil,Peaty soil sample 0015,Generated soil record for a delta. Observed pH 7.98 with salinity 37.16.,32.58,0.63,6.43,7.98,37.16,Synthetic soil CSV
soil-0016,soil,Peaty soil sample 0016,Generated soil record for a riverbank. Observed pH 6.16 with salinity 21.56.,38.18,0.68,1.92,6.16,21.56,Synthetic soil CSV
soil-0017,soil,Silty clay sample 0017,Generated soil record for a coastal belt. Observed pH 8.32 with salinity 17.94.,44.85,1.74,1.28,8.32,17.94,Synthetic soil CSV
soil-0018,soil,Peaty soil sample 0018,Generated soil record for a coastal belt. Observed pH 4.6 with salinity 14.02.,48.26,2.07,0.64,4.6,14.02,Synthetic soil CSV
soil-0019,soil,Alluvial soil sample 0019,Generated soil record for a trial plot. Observed pH 7.15 with salinity 19.77.,38.86,1.87,4.14,7.15,19.77,Synthetic soil CSV
soil-0020,soil,Sandy loam sample 0020,Generated soil record for a delta. Observed pH 6.39 with salinity 29.4.,52.82,1.18,0.49,6.39,29.4,Synthetic soil CSV
soil-0021,soil,Sandy loam sample 0021,Generated soil record for a coastal belt. Observed pH 7.94 with salinity 18.43.,39.15,1.33,5.07,7.94,18.43,Synthetic soil CSV
soil-0022,soil,Silty clay sample 0022,Generated soil record for a coastal belt. Observed pH 7.71 with salinity 18.4.,57.21,1.92,2.46,7.71,18.4,Synthetic soil CSV
soil-0023,soil,Alluvial soil sample 0023,Generated soil record for a trial plot. Observed pH 5.15 with salinity 24.26.,48.05,0.76,4.29,5.15,24.26,Synthetic soil CSV
soil-0024,soil,Sandy loam sample 0024,Generated soil record for a coastal belt. Observed pH 4.98 with salinity 1.13.,40.23,1.27,0.24,4.98,1.13,Synthetic soil CSV
soil-0025,soil,Peaty soil sample 0025,Generated soil record for a greenhouse. Observed pH 8.63 with salinity 25.82.,49.8,2.21,0.76,8.63,25.82,Synthetic soil CSV
soil-0026,soil,Clay loam sample 0026,Generated soil record for a greenhouse. Observed pH 8.33 with salinity 5.17.,57.19,0.98,1.54,8.33,5.17,Synthetic soil CSV
soil-0027,soil,Clay loam sample 0027,Generated soil record for a farm row. Observed pH 7.44 with salinity 19.1.,56.62,0.72,1.66,7.44,19.1,Synthetic soil CSV
soil-0028,soil,Sandy loam sample 0028,Generated soil record for a greenhouse. Observed pH 6.27 with salinity 10.34.,51.35,0.77,4.87,6.27,10.34,Synthetic soil CSV
soil-0029,soil,Silty clay sample 0029,Generated soil record for a trial plot. Observed pH 4.58 with salinity 36.41.,33.96,2.08,1.73,4.58,36.41,Synthetic soil CSV
soil-0030,soil,Peaty soil sample 0030,Generated soil record for a coastal belt. Observed pH 5.27 with salinity 23.24.,31.48,0.72,4.9,5.27,23.24,Synthetic soil CSV
soil-0031,soil,Clay loam sample 0031,Generated soil record for a riverbank. Observed pH 6.12 with salinity 9.8.,53.07,1.61,6.03,6.12,9.8,Synthetic soil CSV
soil-0032,soil,Clay loam sample 0032,Generated soil record for a delta. Observed pH 5.19 with salinity 17.1.,42.7,0.65,4.35,5.19,17.1,Synthetic soil CSV
soil-0033,soil,Silty clay sample 0033,Generated soil record for a greenhouse. Observed pH 5.33 with salinity 20.82.,31.19,0.95,0.37,5.33,20.82,Synthetic soil CSV
soil-0034,soil,Peaty soil sample 0034,Generated soil record for a riverbank. Observed pH 4.4 with salinity 10.36.,40.5,2.3,2.34,4.4,10.36,Synthetic soil CSV
soil-0035,soil,Sandy loam sample 0035,Generated soil record for a coastal belt. Observed pH 5.77 with salinity 25.32.,38.87,1.06,2.06,5.77,25.32,Synthetic soil CSV
soil-0036,soil,Sandy loam sample 0036,Generated soil record for a greenhouse. Observed pH 4.83 with salinity 11.03.,46.16,1.21,5.09,4.83,11.03,Synthetic soil CSV
soil-0037,soil,Alluvial soil sample 0037,Generated soil record for a riverbank. Observed pH 6.16 with salinity 0.94.,49.65,1.83,3.81,6.16,0.94,Synthetic soil CSV
soil-0038,soil,Silty clay sample 0038,Generated soil record for a greenhouse. Observed pH 7.9 with salinity 31.23.,46.17,1.76,1.15,7.9,31.23,Synthetic soil CSV
soil-0039,soil,Alluvial soil sample 0039,Generated soil record for a farm row. Observed pH 6.19 with salinity 29.11.,39.1,1.68,0.32,6.19,29.11,Synthetic soil CSV
soil-0040,soil,Alluvial soil sample 0040,Generated soil record for a riverbank. Observed pH 6.97 with salinity 15.13.,60.02,1.68,3.5,6.97,15.13,Synthetic soil CSV
soil-0041,soil,Alluvial soil sample 0041,Generated soil record for a riverbank. Observed pH 5.35 with salinity 16.51.,31.57,0.8,0.8,5.35,16.51,Synthetic soil CSV
soil-0042,soil,Clay loam sample 0042,Generated soil record for a trial plot. Observed pH 8.08 with salinity 17.1.,49.65,1.81,6.25,8.08,17.1,Synthetic soil CSV
soil-0043,soil,Silty clay sample 0043,Generated soil record for a coastal belt. Observed pH 5.29 with salinity 11.9.,40.66,2.27,6.42,5.29,11.9,Synthetic soil CSV
soil-0044,soil,Peaty soil sample 0044,Generated soil record for a riverbank. Observed pH 4.88 with salinity 20.02.,40.96,2.31,5.83,4.88,20.02,Synthetic soil CSV
soil-0045,soil,Silty clay sample 0045,Generated soil record for a riverbank. Observed pH 6.59 with salinity 27.62.,39.69,0.84,3.95,6.59,27.62,Synthetic soil CSV
soil-0046,soil,Silty clay sample 0046,Generated soil record for a trial plot. Observed pH 7.51 with salinity 33.76.,48.83,2.44,5.09,7.51,33.76,Synthetic soil CSV
soil-0047,soil,Clay loam sample 0047,Generated soil record for a riverbank. Observed pH 4.4 with salinity 24.74.,45.58,1.63,1.28,4.4,24.74,Synthetic soil CSV
soil-0048,soil,Clay loam sample 0048,Generated soil record for a greenhouse. Observed pH 8.64 with salinity 17.63.,30.22,1.4,3.5,8.64,17.63,Synthetic soil CSV
soil-0049,soil,Sandy loam sample 0049,Generated soil record for a trial plot. Observed pH 7.83 with salinity 30.12.,59.99,1.49,2.67,7.83,30.12,Synthetic soil CSV
soil-0050,soil,Clay loam sample 0050,Generated soil record for a coastal belt. Observed pH 5.5 with salinity 6.42.,52.91,1.75,2.49,5.5,6.42,Synthetic soil CSV
soil-0051,soil,Silty clay sample 0051,Generated soil record for a coastal belt. Observed pH 7.39 with salinity 18.63.,37.76,0.62,3.95,7.39,18.63,Synthetic soil CSV
soil-0052,soil,Alluvial soil sample 0052,Generated soil record for a greenhouse. Observed pH 6.76 with salinity 12.67.,51.97,1.12,4.87,6.76,12.67,Synthetic soil CSV
soil-0053,soil,Sandy loam sample 0053,Generated soil record for a trial plot. Observed pH 7.93 with salinity 32.45.,61.21,2.3,1.33,7.93,32.45,Synthetic soil CSV
soil-0054,soil,Alluvial soil sample 0054,Generated soil record for a trial plot. Observed pH 5.15 with salinity 27.15.,46.09,1.8,0.75,5.15,27.15,Synthetic soil CSV
soil-0055,soil,Sandy loam sample 0055,Generated soil record for a coastal belt. Observed pH 5.73 with salinity 19.55.,42.35,1.09,5.96,5.73,19.55,Synthetic soil CSV
