entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
zinc20-0001,molecule,ZINC20-100000,ZINC20 purchasable compound metadata surrogate. SMILES: CC(=O)O. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0002,molecule,ZINC20-100001,ZINC20 purchasable compound metadata surrogate. SMILES: CNC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0003,molecule,ZINC20-100002,ZINC20 purchasable compound metadata surrogate. SMILES: C1=CC=CC=C1. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0004,molecule,ZINC20-100003,ZINC20 purchasable compound metadata surrogate. SMILES: CC(=O)O. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0005,molecule,ZINC20-100004,ZINC20 purchasable compound metadata surrogate. SMILES: C1=CC=CC=C1. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0006,molecule,ZINC20-100005,ZINC20 purchasable compound metadata surrogate. SMILES: COC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0007,molecule,ZINC20-100006,ZINC20 purchasable compound metadata surrogate. SMILES: CCN. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0008,molecule,ZINC20-100007,ZINC20 purchasable compound metadata surrogate. SMILES: COC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0009,molecule,ZINC20-100008,ZINC20 purchasable compound metadata surrogate. SMILES: COC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0010,molecule,ZINC20-100009,ZINC20 purchasable compound metadata surrogate. SMILES: COC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0011,molecule,ZINC20-100010,ZINC20 purchasable compound metadata surrogate. SMILES: COC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0012,molecule,ZINC20-100011,ZINC20 purchasable compound metadata surrogate. SMILES: CC(=O)O. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
zinc20-0013,molecule,ZINC20-100012,ZINC20 purchasable compound metadata surrogate. SMILES: CNC. Availability and medicinal chemistry screening placeholder.,,,,,,ZINC20 surrogate
